CNPJ Emissor,Emissor,Grupo,Setor,Descrição,Fonte
"27.157.474/0001-06","AGUAS DE TERESINA SANEAMENTO  SPE  S.A.","Aegea","Saneamento","Presta serviços de abastecimento de água, coleta e tratamento de esgoto ou gestão de ativos de saneamento.","https://ri.aegea.com.br/a-aegea/unidades-aegea/"
"03.264.927/0001-27","MANAUS AMBIENTAL S.A.","Aegea","Saneamento","Presta serviços de abastecimento de água, coleta e tratamento de esgoto ou gestão de ativos de saneamento.","https://ri.aegea.com.br/a-aegea/unidades-aegea/"
"51.515.582/0001-80","PADOVA PARTICIPACOES S.A","Aegea","Saneamento","Presta serviços de abastecimento de água, coleta e tratamento de esgoto ou gestão de ativos de saneamento.","https://ri.aegea.com.br/a-aegea/unidades-aegea/"
"02.382.073/0001-10","PROLAGOS S/A - CONCESSIONARIA DE SERVICOS PUBLICOS DE AGUA E ESGOTO","Aegea","Saneamento","Presta serviços de abastecimento de água, coleta e tratamento de esgoto ou gestão de ativos de saneamento.","https://ri.aegea.com.br/a-aegea/unidades-aegea/"
"44.854.238/0001-50","PARSAN S.A.","Aegea","Saneamento","Presta serviços de abastecimento de água, coleta e tratamento de esgoto ou gestão de ativos de saneamento.","https://ri.aegea.com.br/a-aegea/unidades-aegea/"
"51.321.805/0001-78","REUSO ITABORAI S.A","Aegea","Saneamento","Presta serviços de abastecimento de água, coleta e tratamento de esgoto ou gestão de ativos de saneamento.","https://ri.aegea.com.br/a-aegea/unidades-aegea/"
"42.644.220/0001-06","AGUAS DO RIO 4 SPE S.A","Aegea","Saneamento","Presta serviços de abastecimento de água, coleta e tratamento de esgoto ou gestão de ativos de saneamento.","https://ri.aegea.com.br/a-aegea/unidades-aegea/"
"42.310.775/0001-03","AGUAS DO RIO 1 SPE S.A","Aegea","Saneamento","Presta serviços de abastecimento de água, coleta e tratamento de esgoto ou gestão de ativos de saneamento.","https://ri.aegea.com.br/a-aegea/unidades-aegea/"
"92.802.784/0001-90","COMPANHIA RIOGRANDENSE DE SANEAMENTO - CORSAN","Aegea","Saneamento","Presta serviços de abastecimento de água, coleta e tratamento de esgoto ou gestão de ativos de saneamento.","https://ri.aegea.com.br/a-aegea/unidades-aegea/"
"48.725.405/0001-13","BLOCO DE ONZE AEROPORTOS DO BRASIL S.A","Aena","Aeroporto","Opera uma concessão aeroportuária, incluindo manutenção, expansão e prestação de serviços aos usuários.","https://www.aenabrasil.com.br/"
"48.533.969/0001-54","PAX INVESTIMENTOS EM AEROPORTOS S.A","Aena","Aeroporto","Opera uma concessão aeroportuária, incluindo manutenção, expansão e prestação de serviços aos usuários.","https://www.aenabrasil.com.br/"
"48.534.024/0001-57","PRS AEROPORTOS S.A.","Aena","Aeroporto","Opera uma concessão aeroportuária, incluindo manutenção, expansão e prestação de serviços aos usuários.","https://www.aenabrasil.com.br/"
"12.528.708/0001-07","AERIS INDUSTRIA E COMERCIO DE EQUIPAMENTOS PARA GERACAO DE ENERGIA S.A.","Aeris","Indústria","Fabrica produtos, equipamentos ou insumos industriais para diferentes cadeias produtivas.","https://ri.aerisenergy.com.br/"
"60.114.865/0001-00","AFINZ INSTITUICAO DE PAGAMENTO S.A.","Afinz","Meios de Pagamento","Processa pagamentos e oferece soluções de adquirência, cartões, fidelidade ou serviços financeiros digitais.",""
"23.399.329/0001-72","AFYA PARTICIPACOES S.A.","Afya","Educação","Oferece serviços educacionais, ensino superior, cursos profissionais ou plataformas de aprendizagem.","https://ir.afya.com.br/"
"41.899.757/0001-46","AG-08 PARTICIPACOES  S.A.","AG-08","Holding","Holding que concentra participações e investimentos em empresas ou projetos do grupo AG-08.",""
"03.798.096/0001-73","AGEO TERMINAIS E ARMAZENS GERAIS S/A","AGEO","Porto","Opera terminal ou infraestrutura portuária para movimentação, armazenagem e logística de cargas.",""
"17.233.151/0001-92","AGEO LESTE TERMINAIS E ARMAZENS GERAIS S.A.","AGEO","Porto","Opera terminal ou infraestrutura portuária para movimentação, armazenagem e logística de cargas.",""
"04.272.637/0001-98","AGEO NORTE TERMINAIS E ARMAZENS GERAIS S/A","AGEO","Porto","Opera terminal ou infraestrutura portuária para movimentação, armazenagem e logística de cargas.",""
"00.585.578/0001-57","AGGER S.A.","Agger","Serviços","Presta serviços empresariais, operacionais ou especializados a clientes públicos e privados.",""
"71.923.304/0001-79","AGORA SOLUCOES EM TECNOLOGIA DA INFORMACAO E COMUNICACAO S A","Agora Solucoes em Tecnologia da Informacao","Tecnologia","Desenvolve ou fornece software, plataformas digitais, equipamentos e serviços de tecnologia.",""
"21.240.146/0001-84","AGROGALAXY PARTICIPACOES S.A. – EM RECUPERACAO JUDICIAL","AgroGalaxy","Agro","Atua na produção agrícola, gestão de terras, originação ou comercialização de produtos do agronegócio.",""
"55.968.005/0001-02","AGRONUTRI PARTICIPACOES S.A.","Agronutri","Fertilizantes","Produz, mistura, distribui ou presta serviços logísticos para fertilizantes e outros insumos agrícolas.",""
"13.642.699/0001-35","AGRO INDUSTRIAS DO VALE DO SAO FRANCISCO SA - AGROVALE","Agrovale","A&A","Produz açúcar e etanol a partir da cana-de-açúcar, normalmente com cogeração de bioenergia.",""
"21.180.700/0001-85","AGUAS DE SAO FRANCISCO DO SUL SPE S.A.","Águas de São Francisco do Sul","Saneamento","Presta serviços de abastecimento de água, coleta e tratamento de esgoto ou gestão de ativos de saneamento.",""
"39.523.638/0001-42","AGUAS DA IMPERATRIZ S.A.","Águas do Brasil","Saneamento","Presta serviços de abastecimento de água, coleta e tratamento de esgoto ou gestão de ativos de saneamento.","https://ri.grupoaguasdobrasil.com.br/"
"01.280.003/0001-99","AGUAS DO PARAIBA S/A","Águas do Brasil","Saneamento","Presta serviços de abastecimento de água, coleta e tratamento de esgoto ou gestão de ativos de saneamento.","https://ri.grupoaguasdobrasil.com.br/"
"02.013.199/0001-18","CONCESSIONARIA AGUAS DE JUTURNAIBA S/A","Águas do Brasil","Saneamento","Presta serviços de abastecimento de água, coleta e tratamento de esgoto ou gestão de ativos de saneamento.","https://ri.grupoaguasdobrasil.com.br/"
"09.266.129/0001-10","SANEAMENTO AMBIENTAL AGUAS DO BRASIL SA","Águas do Brasil","Saneamento","Presta serviços de abastecimento de água, coleta e tratamento de esgoto ou gestão de ativos de saneamento.","https://ri.grupoaguasdobrasil.com.br/"
"02.905.424/0001-20","AGV LOGISTICA S.A.","AGV","Logística","Presta serviços de transporte, armazenagem, distribuição ou gestão logística.",""
"13.149.157/0001-25","AK24-EMPREENDIMENTOS E PARTICIPACOES S/A","AK24","Holding","Holding que concentra participações e investimentos em empresas ou projetos do grupo AK24.",""
"23.438.929/0001-00","ALARES INTERNET PARTICIPACOES S/A","Alares","Telecom","Fornece serviços ou infraestrutura de telecomunicações, internet, conectividade e redes.",""
"62.947.412/0001-90","ALBIOMA SOLAR PARTICIPACOES S.A.","Albioma","Energia","Desenvolve ou opera projetos de geração de energia solar fotovoltaica.",""
"07.966.116/0001-29","ALBIOMA CODORA ENERGIA S.A.","Albioma","Energia","Atua na geração, transmissão, distribuição ou comercialização de energia elétrica.",""
"23.104.747/0001-95","ALENTEJO COMPANHIA SECURITIZADORA CREDITOS FINANCEIROS","Alentejo Companhia Securitizadora Creditos Financeiros","Securitizadora","Estrutura e emite títulos lastreados em recebíveis e outros direitos creditórios.",""
"71.208.516/0001-74","ALGAR TELECOM S.A.","Algar","Telecom","Fornece serviços ou infraestrutura de telecomunicações, internet, conectividade e redes.","https://ri.algartelecom.com.br/"
"12.009.135/0001-05","ALIANCA GERACAO DE ENERGIA S/A","Aliança Energia","Energia","Atua na geração, transmissão, distribuição ou comercialização de energia elétrica.",""
"46.155.662/0001-31","ALISEO EMPREENDIMENTOS E PARTICIPACOES S.A.","Aliseo","Porto","Opera terminal ou infraestrutura portuária para movimentação, armazenagem e logística de cargas.",""
"30.262.440/0001-88","CONCESSIONARIA ALLEGRA PACAEMBU SPE S/A","Allegra Pacaembu","Serviços","Presta serviços empresariais, operacionais ou especializados a clientes públicos e privados.",""
"42.771.949/0018-83","ALLIANCA SAUDE E PARTICIPACOES S.A.","Alliança Saúde","Saúde","Presta serviços hospitalares, diagnósticos, odontológicos ou outros cuidados de saúde.",""
"20.247.322/0037-58","ALLIED TECNOLOGIA S.A.","Allied","Tecnologia","Desenvolve ou fornece software, plataformas digitais, equipamentos e serviços de tecnologia.",""
"17.718.542/0001-05","ALLONDA PARTICIPACOES S.A","Allonda","Saneamento","Presta serviços de abastecimento de água, coleta e tratamento de esgoto ou gestão de ativos de saneamento.",""
"05.878.397/0001-32","ALLOS S.A.","Allos","Shopping","Desenvolve, administra ou explora shopping centers e empreendimentos comerciais.","https://ri.allos.co/"
"06.977.745/0001-91","BR MALLS PARTICIPACOES S/A","Allos","Holding","Holding que concentra participações e investimentos em empresas ou projetos do grupo Allos.","https://ri.allos.co/"
"47.238.842/0001-40","ALMADA ENERGIA RENOVAVEL S.A.","Almada","Energia","Atua na geração, transmissão, distribuição ou comercialização de energia elétrica.",""
"61.079.117/0001-05","ALPARGATAS S.A.","Alpargatas","Varejo","Comercializa produtos ao consumidor por meio de lojas físicas, atacado, distribuição ou canais digitais.","https://ri.alpargatas.com.br/"
"11.721.921/0001-60","ALPER CONSULTORIA E CORRETORA DE SEGUROS SA","Alper","Seguros","Oferece seguros, resseguros, previdência, corretagem ou serviços relacionados à proteção de riscos.",""
"16.811.931/0001-00","ALPHAVILLE S.A.","Alphaville","Real Estate","Desenvolve, incorpora, administra ou investe em imóveis e empreendimentos imobiliários.",""
"48.344.725/0007-19","ALTHAIA S.A. INDUSTRIA FARMACEUTICA","Althaia","Saúde","Desenvolve, fabrica ou distribui medicamentos e produtos para saúde.",""
"08.262.121/0001-13","ALUBAR METAIS E CABOS S.A","Alubar","M&M","Atua na mineração, siderurgia, metalurgia ou fabricação de produtos metálicos.",""
"08.364.948/0001-38","ALUPAR INVESTIMENTO S/A","Alupar","Energia","Atua na geração, transmissão, distribuição ou comercialização de energia elétrica.","https://www.alupar.com.br/empresas/"
"24.870.961/0001-15","ETB - EMPRESA DE TRANSMISSAO BAIANA S.A.","Alupar","Energia","Opera ativos de transmissão de energia elétrica, principalmente linhas e subestações.","https://www.alupar.com.br/empresas/"
"11.589.522/0001-97","EMPRESA DE TRANSMISSAO DE ENERGIA DO MATO GROSSO S.A. - ETEM","Alupar","Energia","Opera ativos de transmissão de energia elétrica, principalmente linhas e subestações.","https://www.alupar.com.br/empresas/"
"08.600.252/0001-63","EMPRESA DE TRANSMISSAO DO ESPIRITO SANTO S.A. - ETES","Alupar","Energia","Opera ativos de transmissão de energia elétrica, principalmente linhas e subestações.","https://www.alupar.com.br/empresas/"
"09.584.854/0001-37","MANAUS TRANSMISSORA DE ENERGIA S/A","Alupar","Energia","Opera ativos de transmissão de energia elétrica, principalmente linhas e subestações.","https://www.alupar.com.br/empresas/"
"10.997.565/0001-49","TRANSENERGIA SAO PAULO S.A.","Alupar","Energia","Atua na geração, transmissão, distribuição ou comercialização de energia elétrica.","https://www.alupar.com.br/empresas/"
"10.553.895/0001-45","TRANSENERGIA RENOVAVEL S. A.","Alupar","Energia","Atua na geração, transmissão, distribuição ou comercialização de energia elétrica.","https://www.alupar.com.br/empresas/"
"05.555.382/0001-33","AOVS SISTEMAS DE INFORMATICA S.A.","Alura","Educação","Oferece serviços educacionais, ensino superior, cursos profissionais ou plataformas de aprendizagem.","https://www.alura.com.br/"
"17.022.762/0001-91","JAPARATINGA RESORT S.A.","Amarante","Serviços","Opera ativos de turismo, lazer, hospitalidade ou entretenimento.",""
"43.102.521/0001-62","AMAZONIA SOLAR SECURITIZADORA DE CREDITOS FINANCEIROS","Amazônia Solar Sec","Securitizadora","Estrutura e emite títulos lastreados em recebíveis e outros direitos creditórios.",""
"38.138.329/0001-96","AMBIENTAL PARTICIPACOES S.A.","Ambiental","Serviços","Presta serviços ambientais, incluindo coleta, tratamento, destinação ou valorização de resíduos.",""
"12.648.266/0001-24","AMBIPAR PARTICIPACOES E EMPREENDIMENTOS S/A","Ambipar","Serviços","Presta serviços empresariais, operacionais ou especializados a clientes públicos e privados.","https://ri.ambipar.com/"
"04.052.108/0001-89","AMERICAN TOWER DO BRASIL - CESSAO DE INFRAESTRUTURAS S.A.","American Tower","Telecom","Fornece serviços ou infraestrutura de telecomunicações, internet, conectividade e redes.","https://www.americantower.com.br/"
"00.776.574/0006-60","AMERICANAS S.A. - EM RECUPERACAO JUDICIAL","Americanas","Varejo","Comercializa produtos ao consumidor por meio de lojas físicas, atacado, distribuição ou canais digitais.","https://ri.americanas.io/"
"02.227.264/0001-08","ANDALI S/A","Andali","Fertilizantes","Produz, mistura, distribui ou presta serviços logísticos para fertilizantes e outros insumos agrícolas.",""
"17.262.197/0001-30","ANDRADE GUTIERREZ S/A","Andrade Gutierrez","Real Estate","Desenvolve, incorpora, administra ou investe em imóveis e empreendimentos imobiliários.",""
"43.721.079/0001-52","ANEMUS WIND PARTICIPACOES S.A.","Anemus Wind","Holding","Holding que concentra participações e investimentos em empresas ou projetos do grupo Anemus Wind.",""
"09.288.252/0001-32","ANIMA HOLDING S/A","Ânima","Educação","Oferece serviços educacionais, ensino superior, cursos profissionais ou plataformas de aprendizagem.","https://ri.animaeducacao.com.br/"
"35.822.503/0001-27","INSPIRALI EDUCACAO S/A","Ânima","Educação","Oferece serviços educacionais, ensino superior, cursos profissionais ou plataformas de aprendizagem.","https://ri.animaeducacao.com.br/"
"49.272.860/0001-73","APIUNA PARTICIPACOES S/A","Apiúna","Holding","Holding que concentra participações e investimentos em empresas ou projetos do grupo Apiúna.",""
"37.606.330/0001-35","APOLLO 17 PARTICIPACOES S.A","Apollo 17","Holding","Holding que concentra participações e investimentos em empresas ou projetos do grupo Apollo 17.",""
"62.462.015/0001-29","APSEN FARMACEUTICA S.A.","Apsen","Saúde","Desenvolve, fabrica ou distribui medicamentos e produtos para saúde.",""
"12.049.167/0001-26","ARAUCARIA SANEAMENTO S/A","Araucária Saneamento","Saneamento","Presta serviços de abastecimento de água, coleta e tratamento de esgoto ou gestão de ativos de saneamento.",""
"24.624.490/0001-65","ARGO TRANSMISSAO DE ENERGIA S.A.","Argo","Energia","Opera ativos de transmissão de energia elétrica, principalmente linhas e subestações.",""
"24.624.551/0001-94","ARGO ENERGIA EMPREENDIMENTOS E PARTICIPACOES S.A.","Argo Energia","Energia","Holding que concentra participações em projetos e empresas de geração, transmissão ou comercialização de energia.",""
"20.514.590/0001-88","ARGO V TRANSMISSAO DE ENERGIA S.A.","Argo V","Energia","Opera ativos de transmissão de energia elétrica, principalmente linhas e subestações.",""
"20.514.555/0001-69","ARGO VI TRANSMISSAO DE ENERGIA S.A","Argo VI","Energia","Opera ativos de transmissão de energia elétrica, principalmente linhas e subestações.",""
"10.489.713/0001-14","ARKLOK  EQUIPAMENTOS DE INFORMATICA S.A.","Arklok","Rentals","Aluga veículos, máquinas, equipamentos ou ativos de tecnologia, com serviços associados.",""
"00.242.184/0001-04","ARMAC LOCACAO LOGISTICA E SERVICOS S.A.","Armac","Rentals","Aluga veículos, máquinas, equipamentos ou ativos de tecnologia, com serviços associados.","https://ri.armac.com.br/"
"08.355.201/0001-13","BIOENERGETICA AROEIRA S.A.","Aroeira","A&A","Produz açúcar e etanol a partir da cana-de-açúcar, normalmente com cogeração de bioenergia.",""
"32.711.933/0001-83","ARTEON Z TRANSMISSAO E PARTICIPACOES S/A","Arteon","Energia","Opera ativos de transmissão de energia elétrica, principalmente linhas e subestações.",""
"09.326.342/0001-70","AUTOPISTA FERNAO DIAS S/A","Arteris","Rodovia","Opera uma concessão rodoviária, realizando manutenção, atendimento aos usuários e investimentos na infraestrutura viária.","https://ri.arteris.com.br/"
"09.324.949/0001-11","AUTOPISTA FLUMINENSE S/A","Arteris","Rodovia","Opera uma concessão rodoviária, realizando manutenção, atendimento aos usuários e investimentos na infraestrutura viária.","https://ri.arteris.com.br/"
"09.325.109/0001-73","AUTOPISTA PLANALTO SUL S/A","Arteris","Rodovia","Opera uma concessão rodoviária, realizando manutenção, atendimento aos usuários e investimentos na infraestrutura viária.","https://ri.arteris.com.br/"
"09.336.431/0001-06","AUTOPISTA REGIS BITTENCOURT S/A","Arteris","Rodovia","Opera uma concessão rodoviária, realizando manutenção, atendimento aos usuários e investimentos na infraestrutura viária.","https://ri.arteris.com.br/"
"02.919.555/0001-67","ARTERIS S.A.","Arteris","Rodovia","Opera uma concessão rodoviária, realizando manutenção, atendimento aos usuários e investimentos na infraestrutura viária.","https://ri.arteris.com.br/"
"03.207.703/0001-83","CONCESSIONARIA DE RODOVIAS DO INTERIOR PAULISTA S/A","Arteris","Rodovia","Opera uma concessão rodoviária, realizando manutenção, atendimento aos usuários e investimentos na infraestrutura viária.","https://ri.arteris.com.br/"
"09.313.969/0001-97","AUTOPISTA LITORAL SUL S/A.","Arteris","Rodovia","Opera uma concessão rodoviária, realizando manutenção, atendimento aos usuários e investimentos na infraestrutura viária.","https://ri.arteris.com.br/"
"28.019.100/0001-89","VIAPAULISTA  S/A","Arteris","Rodovia","Opera uma concessão rodoviária, realizando manutenção, atendimento aos usuários e investimentos na infraestrutura viária.","https://ri.arteris.com.br/"
"52.890.908/0001-11","ARTESANAL SECURITIZADORA DE CREDITOS S.A.","Artesanal Sec","Securitizadora","Estrutura e emite títulos lastreados em recebíveis e outros direitos creditórios.",""
"09.359.927/0001-97","ASA BRANCA HOLDING S.A.","Asa Branca","Energia","Holding que concentra participações em projetos e empresas de geração, transmissão ou comercialização de energia.",""
"07.005.206/0001-53","COMPANHIA ASA RENT A CAR LOCACAO DE VEICULOS S.A.","ASA Rent A CAR Locacao de","Rentals","Aluga veículos, máquinas, equipamentos ou ativos de tecnologia, com serviços associados.",""
"12.561.807/0001-82","ASCENSUS GESTAO E PARTICIPACOES S.A","Ascensus","Holding","Holding que concentra participações e investimentos em empresas ou projetos do grupo Ascensus.",""
"44.121.917/0001-10","ASCENSUS TV PAR SPE S.A.","Ascensus","Holding","Holding que concentra participações e investimentos em empresas ou projetos do grupo Ascensus.",""
"13.743.550/0001-42","ASCENTY DATA CENTERS E TELECOMUNICACOES S/A","Ascenty","Data Center","Opera infraestrutura de data centers, conectividade e serviços digitais de missão crítica.","https://www.ascenty.com/"
"06.057.223/0001-71","SENDAS  DISTRIBUIDORA S/A","Assaí","Varejo","Comercializa produtos ao consumidor por meio de lojas físicas, atacado, distribuição ou canais digitais.","https://ri.assai.com.br/"
"38.286.323/0001-66","ASSURUA 4 E 5 HOLDING ENERGIA S.A.","Assuruá","Energia","Holding que concentra participações em projetos e empresas de geração, transmissão ou comercialização de energia.",""
"42.113.253/0001-11","ASTER INVESTIMENTOS S.A","Aster","Holding","Holding que concentra participações e investimentos em empresas ou projetos do grupo Aster.",""
"47.239.287/0001-70","ASTURIAS ENERGIA RENOVAVEL S.A.","Astúrias Energia","Energia","Atua na geração, transmissão, distribuição ou comercialização de energia elétrica.",""
"03.987.364/0001-03","ATEM DISTRIBUIDORA DE PETROLEO S.A.","Atem","O&G","Distribui e comercializa combustíveis, GLP e outros derivados de petróleo.","https://www.grupoatem.com.br/"
"31.701.408/0001-14","ATHENA SAUDE BRASIL S.A.","Athena Saúde","Saúde","Presta serviços hospitalares, diagnósticos, odontológicos ou outros cuidados de saúde.","https://www.athenasaude.com.br/"
"30.997.588/0001-60","ATHON GERACAO DISTRIBUIDA S/A","Athon Energia","Energia","Atua na geração, transmissão, distribuição ou comercialização de energia elétrica.",""
"58.315.021/0001-86","ATHON GERACAO DISTRIBUIDA VI SA","Athon Energia","Energia","Atua na geração, transmissão, distribuição ou comercialização de energia elétrica.",""
"52.948.225/0001-78","ATHON GERACAO DISTRIBUIDA III S.A.","Athon Energia","Energia","Atua na geração, transmissão, distribuição ou comercialização de energia elétrica.",""
"38.213.667/0001-45","ATHON GERACAO DISTRIBUIDA II S.A.","Athon Energia","Energia","Atua na geração, transmissão, distribuição ou comercialização de energia elétrica.",""
"48.194.993/0001-06","ATHON GERACAO DISTRIBUIDA GAMA S.A.","Athon Geração Distribuida Gama","Energia","Atua na geração, transmissão, distribuição ou comercialização de energia elétrica.",""
"06.015.859/0001-50","ATIAIA ENERGIA S/A","Atiaia Energia","Energia","Atua na geração, transmissão, distribuição ou comercialização de energia elétrica.",""
"49.037.416/0001-73","ATLAS LUIZ CARLOS COMERCIALIZADORA DE ENERGIA S.A.","Atlas Renewable","Energia","Comercializa energia elétrica e presta soluções de gestão e contratação de energia.",""
"49.381.686/0001-05","ATLAS BRASIL ENERGIA HOLDING 4 S.A","Atlas Renewable","Energia","Holding que concentra participações em projetos e empresas de geração, transmissão ou comercialização de energia.",""
"52.177.416/0001-83","ATLETICO MINEIRO S.A.F.","Atlético Mineiro","Esporte","Opera atividades esportivas, arenas, clubes ou negócios de entretenimento associados.",""
"04.032.433/0001-80","ATMA PARTICIPACOES S/A","Atma","Serviços","Presta serviços de atendimento ao cliente, contact center e terceirização de processos.",""
"13.039.389/0001-20","ATTEND  AMBIENTAL S.A.","Attend Ambiental","Serviços","Presta serviços ambientais, incluindo coleta, tratamento, destinação ou valorização de resíduos.",""
"08.213.823/0001-07","AURA ALMAS MINERACAO S.A.","Aura Minerals","M&M","Atua na mineração, siderurgia, metalurgia ou fabricação de produtos metálicos.",""
"45.024.644/0001-58","CAJUINA AB1 HOLDINGS S.A","Auren","Energia","Holding que concentra participações em projetos e empresas de geração, transmissão ou comercialização de energia.","https://ri.aurenenergia.com.br/"
"37.663.076/0001-07","AUREN PARTICIPACOES S.A.","Auren","Energia","Holding que concentra participações em projetos e empresas de geração, transmissão ou comercialização de energia.","https://ri.aurenenergia.com.br/"
"00.194.724/0001-13","AUREN OPERACOES S.A.","Auren","Energia","Atua na geração, transmissão, distribuição ou comercialização de energia elétrica.","https://ri.aurenenergia.com.br/"
